_id,ลำดับ,รายละเอียด,สำนักงานเขต,สน.พื้นที่,พิกัด,พื้นที่ความรับผิดชอบ
97,97,ซอยมีสุวรรณ 3 แยก 10 (ซอยจุฬาพรประสิทธิ์/ ถนนปรีดีพนมยงค์ 36),วัฒนา,คลองตัน,"13.715370, 100.600297",กรุงเทพมหานคร
98,98,ประชาอุทิศ (ตั้งแต่ประชาอุทิศ39 - ประชาอุทิศ 47),ทุ่งครุ,ราษฎร์บูรณะ,"13.651404, 100.496836",กรุงเทพมหานคร
99,99,ถนนศรีนครินทร์-ร่มเกล้า ตัดถนนกาญจนาภิเษก,สะพานสูง,ประเวศ,"13.753301,100.700490",กรมทางหลวง
100,100,ถนนเอกชัย บริเวณเอกชัย 23 ถึงเอกชัย 35,จอมทอง,บางขุนเทียน,"13.691938, 100.454679",กรุงเทพมหานคร
101,101,ปากซอยคู้บอน 6,คันนายาว,คันนายาว,"13.8425543, 100.6628298",กรุงเทพมหานคร
102,102,ถนนเพชรเกษม บริเวณเพชรเกษม ซอย 46 ถึงเพชรเกษม ซอย 48/1,ภาษีเจริญ,ภาษีเจริญ,"13.715183, 100.444138",กรุงเทพมหานคร
103,103,แยกปทุมวัน (ถนนพระรามที่ 1 ตัดถนนพญาไท),ปทุมวัน,ปทุมวัน,"13.746226,100.530878",กรุงเทพมหานคร
104,104,แยกกล้วยน้ำไท (ถนนพระราม 4 ตัดถนนกล้วยน้ำไท),คลองเตย,"คลองตัน,ทองหล่อ","13.712980, 100.584032",กรุงเทพมหานคร
105,105,ถนนบางขุนเทียน-ชายทะเล (บริเวณซอยเทียนทะเล 7),บางขุนเทียน,ท่าข้าม,"13.641474, 100.432217",กรุงเทพมหานคร
106,106,ถนนบางขุนเทียน-ชายทะเล (บริเวณซอยเทียนทะเล 11 - 15),บางขุนเทียน,ท่าข้าม,"13.634970, 100.433345",กรุงเทพมหานคร
107,107,แยกรัชดา-สุทธิสาร,ดินแดง,สุทธิสาร,"13.789746, 100.574237",กรุงเทพมหานคร
108,108,ถนนรัชดาภิเษก ช่วงใกล้ทางขึ้นลงทางด่วนฯ,จตุจักร,ประชาชื่น,"13.830096, 100.541179",กรุงเทพมหานคร
109,109,สี่แยกบางพลัด,บางพลัด,บางพลัด,"13.784602, 100.494450",กรุงเทพมหานคร
110,110,ถนนพระราม 4 ช่วงคลองเตย,คลองเตย,"ทุ่งมหาเมฆ,ทองหล่อ","13.720687, 100.557758",กรุงเทพมหานคร
111,111,แยกรามคำแหง (ถนนพระราม 9 - ถนนรามคำแหง),บางกะปิ,หัวหมาก,"13.747478, 100.605557",กรุงเทพมหานคร
112,112,ซอยโรงพยาบาลปิยะเวท,ห้วยขวาง,"มักกะสัน, ห้วยขวาง","13.754398, 100.579627",กรุงเทพมหานคร
